轰堂大笑	哄堂大笑
纵横捭合	纵横阖合
伸东击西	声东击西
指高气扬	趾高气扬
金钢钻头	金刚钻头
众目暌暌	众目睽睽
毫无疑议	毫无疑义
战战惊惊	兢兢惊惊
不骄不燥	不骄不躁
哀声叹气	唉声叹气
飞机着落	飞机着陆
掂斤拨两	掂斤播两
沉缅	沉湎
变换莫测	变幻莫测
刻勤刻俭	克勤克俭
脉膊	脉搏
陈陈相应	陈陈相因
敲榨勒索	敲诈勒索
奋斗终身	奋斗终生
起迄	起讫
虎据龙盘	虎踞龙盘
百步串杨	百步穿杨
文渎	文牍
不言而语	不言而喻
付之东流	付之东流
魁力	魅力
卓智多谋	卓智多谋
精神矍烁	精神矍铄
稍安毋躁	少安毋躁
姿意妄为	恣意妄为
沽恶不悛	怙恶不悛
穷原竞委	穷原竟委
弄巧成绌	弄巧成拙
随声附合	随声附和
亲睐	青睐
犹柔寡断	优柔寡断
莫可明状	莫可名状
气势凶凶	气势凶凶
尽心极力	尽心极力
雀巢鸠占	鹊巢鸠占
不落巢臼	不落窠臼
肿涨	肿胀
瞑思苦想	冥思苦想
竭见	谒见
励兵秣马	厉兵秣马
出奇不意	出其不意
默挈	默契
一幅对联	一副对联
原形必露	原形毕露
眼急手快	眼疾手快
遭秧	遭殃
司空见怪	司空见惯
一鼓足气	一鼓足气
励行节约	厉行节约
风尘扑扑	风尘仆仆
击浊扬清	激浊扬清
摒气凝神	屏气凝神
拾遗补缺	拾遗补阙
度过难关	渡过难关
异曲同功	异曲同工
独具惠眼	独具慧眼
清辙	清澈
传颂一时	传诵一时
过尤不及	过犹不及
膈膜	隔膜
划地为牢	画地为牢
贪脏枉法	贪赃枉法
挑肥捡瘦	挑肥拣瘦
永保青春	永葆青春
皎皎者	佼佼者
挠恕	饶恕
各书己见	各抒己见
借戒	借鉴
势如爆竹	势如爆竹
翱游	遨游
切搓琢磨	切磋琢磨
隐隐绰绰	影影绰绰
飞机着落	飞机着落
震震有词	振振有词
愤闷不平	懑闷不平
图穷匕现	图穷匕见
不能自己	不能自已
忽然开朗	豁然开朗
暖哄哄	暖烘烘
千头万序	千头万绪
无精打采	无精打彩
玷玷自喜	沾沾自喜
变本加利	变本加厉
兴高彩烈	兴高采烈
决对	绝对
扇风点火	煽风点火
无尚光荣	无上光荣
汗流夹背	汗流浃背
卓智多谋	足智多谋
拒谏是非	拒谏饰非
亵赎	亵赎
性格粗旷	性格粗犷
棉里藏针	绵里藏针
频临	濒临
垮台	垮台
追本朔源	追本溯源
浑浑恶恶	浑浑噩噩
抿灭	泯灭
无所是从	无所适从
作崇	作祟
愤世疾俗	愤世嫉俗
艰苦倍尝	艰苦备尝
闲情逸志	闲情逸致
蓦捐	募捐
猩猩作态	惺惺作态
吃里爬外	吃里扒外
昙花一显	昙花一现
彬彬有理	彬彬有礼
首当其充	首当其冲
自曝自弃	自暴自弃
精兵减政	精兵简政
委糜	委靡
砥毁	诋毁
事绩	事迹
忘恩负意	忘恩负义
草木雕零	草木凋零
纭纭众生	芸芸众生
绌绌逼人	咄咄逼人
浸人心脾	沁人心脾
毋用讳言	毋庸讳言
刻己奉公	克己奉公
山峦重迭	山峦重叠
墨守陈规	墨守成规
震憾人心	震撼人心
真象大白	真相大白
美仑美奂	美轮美奂
居心不测	居心不测
慢谈	漫谈
响彻云宵	响彻云霄
独劈蹊径	独辟蹊径
决无仅有	绝无仅有
防患未燃	防患未然
调察	调查
无讥之谈	无稽之谈
偕书	楷书
贯输知识	灌输知识
关怀倍至	关怀备至
伤天害礼	伤天害理
坐地分脏	坐地分赃
清淅	清晰
不落巢臼	不落巢臼
扬扬洒洒	洋洒洒洒洒
少纵即逝	稍纵即逝
誉写	誊写
调济	调剂
言简意该	言简意赅
白头携老	白头偕老
蓬头诟面	蓬头垢面
流言非语	流言蜚语
按磨	按摩
直言不晦	直言不讳
噬脐莫急	噬脐莫及
跃武扬威	耀武扬威
大姆指	大拇指
推脱	推托
记忆尤新	记忆犹新
恶耗	噩耗
不卑不吭	不卑不吭
生灵涂碳	生灵涂炭
暴炸	爆炸
沤吐	呕吐
联襟	连襟
自名不凡	自命不凡
暂露头角	崭露头角
震奋	振奋
明片	名片
怨天犹人	怨天尤人
愤笔急书	奋笔疾书
推脱生病	推托生病
无计于事	无济于事
聆吟	聆听
严正申明	严声声明
倒打一把	倒打一耙
继往不究	既往不究
原物必还	原物璧还
游戈	游弋
通情达礼	通情达理
死心踏地	死心塌地
洁白无暇	洁白无瑕
